"cp","minbucket","minsplit","cv_RMSE"
1e-04,3,20,80.0830417176641
1e-04,3,10,80.2329427970019
3e-04,3,10,80.3914153554179
1e-04,5,10,80.4545236256765
3e-04,3,20,80.5565970201085
3e-04,5,10,80.9916627804823
1e-04,5,20,81.2642396324303
1e-04,5,40,81.5888226919515
3e-04,5,20,81.8177683920935
3e-04,5,40,81.9116083423965
0.001,3,10,82.0976898294913
1e-04,3,40,82.2540277538133
0.001,3,20,82.3815387393782
3e-04,3,40,82.6798110564207
0.001,5,10,82.9772355188796
0.001,5,40,83.0207062023159
0.001,5,20,83.220334526412
0.001,3,40,83.4642278452726
1e-04,10,10,83.9005061250039
1e-04,10,20,83.9005061250039
1e-04,10,40,84.0042704348066
3e-04,10,10,84.0520750071853
3e-04,10,20,84.0520750071853
0.001,10,10,84.106305344468
0.001,10,20,84.106305344468
3e-04,10,40,84.1754958102423
0.001,10,40,84.4047051103507
0.003,3,10,85.909286762438
0.003,3,20,86.3306221923899
0.003,5,10,87.1555940033748
0.003,3,40,87.4472729101605
0.003,5,20,87.5746874183199
0.003,5,40,87.6037334868123
0.003,10,10,88.4866275247777
0.003,10,20,88.4866275247777
0.003,10,40,88.5417843814423
0.01,5,10,97.8121610202167
0.01,3,10,97.8288048964531
0.01,5,40,98.0953549156699
0.01,3,40,98.1118598995435
0.01,5,20,98.1239843618279
0.01,3,20,98.1406282380643
0.01,10,40,99.0836189083616
0.01,10,10,99.2273264268689
0.01,10,20,99.2273264268689
0.03,3,10,105.345942319233
0.03,5,10,105.345942319233
0.03,10,10,105.345942319233
0.03,3,20,105.345942319233
0.03,5,20,105.345942319233
0.03,10,20,105.345942319233
0.03,3,40,105.345942319233
0.03,5,40,105.345942319233
0.03,10,40,105.345942319233
0.1,3,10,124.331497758057
0.1,5,10,124.331497758057
0.1,10,10,124.331497758057
0.1,3,20,124.331497758057
0.1,5,20,124.331497758057
0.1,10,20,124.331497758057
0.1,3,40,124.331497758057
0.1,5,40,124.331497758057
0.1,10,40,124.331497758057
