Section	Metric	Value
Key characteristics	Dataset	food_nutrient_conc.csv
Key characteristics	Number of foods (rows)	5431
Key characteristics	Unique food names	5431
Key characteristics	Number of columns	67
Key characteristics	Numeric columns (excluding blank index)	65
Key characteristics	Character/factor columns	1
Key characteristics	Number of labels/classes (from supervised_table.csv)	171
Key characteristics	Total missing cells	0
Key characteristics	Columns with missing values	0
Key characteristics	Percent missing cells	0.0000%
Variable distribution summary	Across numeric variables: median of variable means	2.3799
Variable distribution summary	Across numeric variables: IQR of variable means	27.8763
Variable distribution summary	Across numeric variables: median of variable SDs	4.0804
Variable distribution summary	Across numeric variables: median % zeros	10.9
Variable distribution summary	Across numeric variables: max % zeros	98.32
Variable distribution summary	Across numeric variables: min % zeros	0.33
Variable distribution summary	Energy (kcal/100g): mean	199.2517
Variable distribution summary	Energy (kcal/100g): median	167
Variable distribution summary	Energy (kcal/100g): SD	142.6956
Variable distribution summary	Energy (kcal/100g): min	0
Variable distribution summary	Energy (kcal/100g): max	902
