K,m,silhouette,inertia,calinski_harabasz
4,5,0.8542210366897487,53407.905128003506,1381.7100151598318
6,5,0.3143238372372924,38886.609008270716,1543.3572822277854
8,5,0.3535760113643475,27782.718747336196,1852.0532066753037
10,5,0.3334979533380583,23624.952648053484,1799.3749908753675
12,5,0.3575404086033566,21427.566341673024,1673.155765091627
14,5,0.36820542746712365,18210.87047878116,1738.764374582549
16,5,0.32054848641139805,15661.038732426456,1810.407704497659
18,5,0.28065378452369866,13752.358936057622,1862.878765093797
20,5,0.324701945236866,12299.465497646725,1896.4409974916077
22,5,0.2838182169842827,10785.73953195574,1992.035029389343
24,5,0.26740115929797337,9840.113930183172,2015.4326386934094
26,5,0.25664077278115555,9308.223193629623,1971.8428977259111
28,5,0.25779989385094865,8538.903502193716,2007.5834501114493
30,5,0.2557640551845487,7901.078084926217,2034.2685057474423
32,5,0.2560972692264931,7537.812471816007,2002.3685262196655
34,5,0.23607846219056539,7156.450746313138,1989.2348785410256
36,5,0.23377930784295048,6946.950129780151,1936.0573884617836
38,5,0.23493466362315665,6642.719325490473,1921.248594165398
40,5,0.2512828147423855,6338.893722499916,1916.0312321097006
42,5,0.24418216648007515,6077.529474943833,1905.8579064352714
44,5,0.23793934981236023,5876.159142089958,1883.1094577007075
46,5,0.24264247554966006,5675.263231069004,1866.6259488160354
48,5,0.24106984425266897,5495.663397793169,1848.7247714016053
50,5,0.24929589664200344,5309.811763176294,1838.446137588261
4,8,0.7160240968262563,72278.25428209157,1092.8491416827903
6,8,0.3124277034774204,54598.6878317441,1219.0484285741395
8,8,0.3121993005807889,43845.85710581741,1273.884538217585
10,8,0.2863372662239482,38225.314255649864,1224.629667134724
12,8,0.28702008677066065,34643.8852988518,1156.07181608557
14,8,0.28760309312951426,28687.33862406063,1267.4126030650361
16,8,0.2883716482006384,27061.880189018582,1185.6545169723522
18,8,0.20886413351889915,25076.058808912665,1153.8180849876003
20,8,0.22124702987283634,22520.93734709773,1181.3711248255795
22,8,0.2272806706748975,20396.782959945314,1206.564644603387
24,8,0.21000167137102382,19103.513521207038,1191.7156330742664
26,8,0.2394339306683313,17257.97859471963,1236.2783991893468
28,8,0.24678033279734657,16166.788258015655,1235.0199191121774
30,8,0.24393288923377818,15366.059527731966,1219.024120854046
32,8,0.24794988101449417,14745.528173988554,1195.260057058781
34,8,0.24819512825104914,14104.403104173774,1180.8703040725723
36,8,0.25154765112032496,13334.339026038613,1186.1408940471924
38,8,0.20980686820031144,12823.639150244227,1172.0835830031263
40,8,0.2222000180154422,12264.59971967388,1168.535959871387
42,8,0.22794898527826937,11810.231045433506,1158.9196967890036
44,8,0.22554374604080443,11403.330083372151,1148.490272571859
46,8,0.22746836087344094,11040.436702979645,1137.0328576035743
48,8,0.22548093287761875,10550.639380743378,1144.086259395191
50,8,0.2266621474472307,9992.846211413867,1164.3426418877232
4,10,0.6960444871155078,84118.45523916726,939.5501221314698
6,10,0.5504219225651834,67953.72116748564,955.6739730416305
8,10,0.24630235907300863,58740.41109258808,910.914015923702
10,10,0.27081932386067437,49434.40522971413,954.936846700199
12,10,0.22531972316255722,46394.885297789966,864.4732394222165
14,10,0.257704274268908,42164.227035690674,846.3787722986642
16,10,0.2703661364931869,35752.47985727539,929.498474512368
18,10,0.2690755800560444,31838.926392650374,959.7551685309153
20,10,0.20296380773952113,29027.623836086175,969.1321890922172
22,10,0.20541575071566956,27148.320792019556,955.0162524426221
24,10,0.20494202954794893,25179.946171814216,958.1607076407051
26,10,0.20522406064643728,24261.00362476743,922.7477514626279
28,10,0.21108414459705527,22483.482735734528,937.42280929778
30,10,0.20750794788669005,21374.298197720083,927.3884407084647
32,10,0.215133696662757,20213.426700976554,927.0434509079937
34,10,0.22174808137871418,18789.89990441462,948.8862952018262
36,10,0.22634178274687464,17744.47339532349,956.096637062757
38,10,0.2315080240623947,16877.652808311443,958.0058011763664
40,10,0.20914374820488996,16336.578399525992,943.2031980216126
42,10,0.21114860264346058,15556.164212447344,948.4476716968467
44,10,0.2134680676770592,15007.566181933393,941.629150004249
46,10,0.2139433602882729,14372.088423418558,944.5063162719566
48,10,0.2141371559836879,13960.405654200731,934.0140521176379
50,10,0.21539330401712484,13424.756136338956,935.6729939731787
4,12,0.688526694102359,95629.32449981033,813.1106789230705
6,12,0.36708456017434254,84039.13015202084,704.5825239432194
8,12,0.23601393453492028,72210.50105557707,712.4019959351945
10,12,0.25187396430484327,62003.66507936179,744.2185032305875
12,12,0.252618278535136,52675.520239204605,803.7103551491725
14,12,0.24810244637558812,47971.99852038391,787.3356453319254
16,12,0.2638424011081139,43293.29094372903,794.8198329339124
18,12,0.26254658732029335,38541.49480258177,826.7430231393091
20,12,0.19120356067858052,35604.84903057615,823.9214456473104
22,12,0.28333753042127624,33322.01989969093,813.8736336718596
24,12,0.2880728578280185,30793.498387626612,823.126955463376
26,12,0.19922828093447784,29653.31741208421,794.4241026638729
28,12,0.20470859499306798,27511.42182866283,808.1250906757032
30,12,0.20489486826902958,26203.122352012328,798.9669873677457
32,12,0.20653316322258328,24804.997939265362,799.0703068683663
34,12,0.2195461704061968,23514.582934545844,800.5233804430081
36,12,0.2085414245523727,22415.29611694968,799.054176117529
38,12,0.20245778442985823,21593.627840858084,789.8799721166897
40,12,0.2034016902611647,19890.884254123943,825.0564684821052
42,12,0.20440679235174397,18872.66050831959,833.9368899065233
44,12,0.21229747826420425,18214.60678109443,828.0937834410219
46,12,0.2156853045034131,17556.407855309702,825.1400079476226
48,12,0.2138034554570652,16958.36130937984,821.6203104857675
50,12,0.22176768233116348,16363.855033895288,820.4044265738855
4,15,0.6731991057500764,109865.21553078532,708.4176802162173
6,15,0.22110736811916423,92872.94640165682,701.1484214498196
8,15,0.24611706228019473,86691.24271553106,591.5768760827075
10,15,0.2524785247519307,74579.30553166909,632.4634402376821
12,15,0.25028730135364863,67292.66242946599,626.6357344964663
14,15,0.25059287059148244,61066.32547548307,626.5637102665058
16,15,0.25515653281508716,53526.063975924815,670.1428061670745
18,15,0.26341534912974773,47658.2288473494,703.0662511595581
20,15,0.17762430286154657,44608.947146800696,691.2758475474374
22,15,0.2714885441552195,39867.995976428574,730.1867192427635
24,15,0.28051655669991216,37670.13350269355,719.0452655926842
26,15,0.28129762207133674,34871.624504532934,731.6970976955943
28,15,0.1905661404158248,32701.70683245502,735.4620295656107
30,15,0.19393524228895442,31200.9698768956,726.3689275911647
32,15,0.201246280044035,29378.65164446197,732.2046221422744
34,15,0.20511950524392902,28205.047594831733,722.9745998669501
36,15,0.20636270730384604,27297.04970499655,709.2028349551917
38,15,0.20793856169067884,25560.59419084379,726.0789943275036
40,15,0.21006822612519113,24066.847302721413,739.9146023863232
42,15,0.21248272923486425,23362.058925741807,728.7470813139092
44,15,0.2129275566350972,22943.93531064338,709.5354874698693
46,15,0.21263678543242823,22397.21773166807,697.2161769661907
48,15,0.21500144462557505,21061.220802736745,716.8872243444084
50,15,0.21558133471031699,20032.81408606015,728.2974842488985
4,20,0.2860086687025649,132031.29475185985,526.6454875599642
6,20,0.22855682885327921,112960.93675207079,552.3681668187371
