K,silhouette,inertia,calinski_harabasz
4,0.2812357281048987,146160.41403259826,476.4282554487862
6,0.186275168165683,123368.76297730966,538.9896158871994
8,0.19099352026162958,115146.9071121894,467.64743581735416
10,0.19444069227809238,109583.502562618,412.6302034433667
12,0.18677283822453924,95172.89379752937,463.1743873158213
14,0.20223810369702921,86645.16654430253,471.3441302161037
16,0.20294000720927735,80528.91663005072,466.7796142046864
18,0.18947516965128147,75130.81098208686,464.1717686320927
20,0.22270526292914752,69473.11210496971,472.15827027502945
22,0.20361899045736054,64835.28359481485,476.00450897001855
24,0.2258644903979026,60092.141681670706,487.29945965097687
26,0.23388000734931894,55788.42422980231,499.4003434753156
28,0.2393192250319282,53814.987350341195,486.5250646173002
30,0.15893469042064334,51886.60626888671,476.5582341883127
32,0.15915385538695648,49531.52880907143,475.11517397845586
34,0.16189117282072443,46327.451139437064,488.321906379292
36,0.1623160554751205,45267.96736980152,474.6268148575766
38,0.16459961933683814,43769.02243809824,469.16794712124107
40,0.16522696123943817,42480.531247437546,462.6315354007143
42,0.168613048102688,41246.11892190998,456.99927748553085
44,0.17216372404196575,39619.41975767549,458.60921558689705
46,0.17421898580553288,38287.713621874864,457.4619396419748
48,0.18824725602091846,37046.31179534743,456.342085454833
50,0.18892010727377478,35314.9975205221,464.3885052847543
