K,NMI,ARI
4,0.046426459479825856,0.0011732149129781387
6,0.20672576798957337,0.017443871618777144
8,0.25158352754167895,0.0190909083647172
10,0.25370944768234444,0.01932582692828996
12,0.26504374207164666,0.019500351004914145
14,0.26976876691486495,0.020378877866470184
16,0.30521995297568977,0.025199573764298332
18,0.3195123950854277,0.027076219714058172
20,0.3526942078764196,0.042822588718709115
22,0.3406614030152281,0.030210215994583855
24,0.346921740418434,0.030004791533115607
26,0.34882581255551226,0.030069881230522604
28,0.3864439498966447,0.05095996215760298
30,0.3908493924261551,0.05203810343208472
32,0.40411491129870947,0.05898622295826595
34,0.42471969509305135,0.06719402181375378
36,0.4282328400391527,0.06827589241782869
38,0.4282583065094179,0.06811295975088497
40,0.4308852608526993,0.06994327286225761
42,0.4326730826470611,0.07036485475036826
44,0.43218359243913285,0.06985242861292881
46,0.43182172936485025,0.06956494339757636
48,0.44742675987941083,0.0759126193542909
50,0.4473888067258216,0.07598253605154394
