Food_Name,PC1,PC2,cluster
"Milk, NFS",-1.2893174316674627,0.1558231649023819,6
"Milk, whole",-1.3561890810771284,0.05547705693113388,6
"Milk, reduced fat (2%)",-1.2313674152896856,0.24377965701630372,6
"Milk, low fat (1%)",-1.2690974372378003,0.1559046695352841,6
"Milk, fat free (skim)",-1.2484521131371649,0.1956884889399023,6
"Milk, lactose free, low fat (1%)",-1.2690974372378003,0.1559046695352841,6
"Milk, lactose free, fat free (skim)",-1.2484521131371649,0.1956884889399023,6
"Milk, lactose free, reduced fat (2%)",-1.2313674152896856,0.24377965701630372,6
"Milk, lactose free, whole",-1.3561890810771284,0.05547705693113388,6
Buttermilk,-1.3366412713921316,-0.12673249451677196,6
Kefir,-0.925645034445389,0.39480989072556916,6
Goat milk,-1.228265161093521,0.13987134088779327,6
"Milk, dry, reconstituted, nonfat",-1.365110885392614,0.05062475445107244,6
"Milk, dry, reconstituted, whole",-1.0839621022230144,0.1377357795816359,6
"Milk, evaporated, NS as to fat content",-0.3880997466063514,0.4656521076609573,6
"Milk, evaporated, whole",-0.3880997466063514,0.4656521076609573,6
"Milk, evaporated, reduced fat (2%)",-0.2299121734881464,0.7346289131287528,6
"Milk, evaporated, fat free (skim)",-0.2268724478355052,0.6945059802252589,6
"Milk, condensed, sweetened",0.023355115658959293,0.7038589078926495,0
"Non-dairy milk, NFS",-1.1914178687137749,0.18594687941453603,6
"Soy milk, sweetened",-0.9891659326017199,0.05492526823983474,6
"Soy milk, unsweetened",-0.9302746225155349,0.0782946858847648,6
"Soy milk, chocolate",-0.9982669654582818,0.052238276223763466,6
"Almond milk, sweetened",-1.1695394537984194,0.30318288247515657,6
"Almond milk, chocolate",-1.181838704760539,0.29879772500604784,6
"Almond milk, unsweetened",-1.1268442693923701,0.33745215471695134,6
"Almond milk, NFS",-1.1355297761175431,0.3313374703263753,6
Rice milk,-1.1846943217717152,0.09612860053914879,6
Oat milk,-1.5438798627273758,-0.10429156603816449,6
Coconut milk,-1.5604437423849102,0.07450576077028215,6
"Yogurt, NFS",-1.1282177548032015,-0.016626746031529943,6
"Yogurt, Greek, NS as to type of milk or flavor",-1.2131007148532682,-0.10265401968267228,6
"Yogurt, NS as to type of milk or flavor",-1.0326709110043897,-0.003515885889214864,6
"Yogurt, NS as to type of milk, plain",-0.9133250564502853,0.06400662327702744,6
"Yogurt, whole milk, plain",-1.1642108272474234,-0.0299191262939654,6
"Yogurt, low fat milk, plain",-0.9133250564502853,0.06400662327702744,6
"Yogurt, nonfat milk, plain",-1.0121075016918861,-0.08461980258466494,6
"Yogurt, Greek, NS as to type of milk, plain",-1.2102990927438122,-0.13692750216116598,6
"Yogurt, Greek, whole milk, plain",-1.2267296384988995,-0.032160625130458226,6
"Yogurt, Greek, low fat milk, plain",-1.2102990927438122,-0.13692750216116598,6
"Yogurt, Greek, nonfat milk, plain",-1.2153807182856466,-0.16474445720476846,6
"Yogurt, NS as to type of milk, fruit",-1.0326709110043897,-0.003515885889214864,6
"Yogurt, whole milk, fruit",-1.240116988181364,-0.08566982916785688,6
"Yogurt, low fat milk, fruit",-1.0326709110043897,-0.003515885889214864,6
"Yogurt, nonfat milk, fruit",-1.1871596472132642,-0.13948848549759116,6
"Yogurt, Greek, NS as to type of milk, fruit",-1.2131007148532682,-0.10265401968267228,6
"Yogurt, Greek, whole milk, fruit",-1.222735490260189,-0.020261496840392374,6
"Yogurt, Greek, low fat milk, fruit",-1.2131007148532682,-0.10265401968267228,6
"Yogurt, Greek, nonfat milk, fruit",-1.2203743114261738,-0.13194936480623917,6
"Yogurt, NS as to type of milk, flavors other than fruit",-1.1025275668125483,-0.010723050866361746,6
"Yogurt, whole milk, flavors other than fruit",-1.3145668711252023,-0.095502995583087,6
"Yogurt, low fat milk, flavors other than fruit",-1.1025275668125483,-0.010723050866361746,6
"Yogurt, nonfat milk, flavors other than fruit",-1.1894370994409744,-0.1404712047662304,6
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",-1.2650716999754144,-0.11445844776397163,6
"Yogurt, Greek, whole milk, flavors other than fruit",-1.282113355754562,-0.023442096346022914,6
"Yogurt, Greek, low fat milk, flavors other than fruit",-1.2650716999754144,-0.11445844776397163,6
"Yogurt, Greek, nonfat milk, flavors other than fruit",-1.2703136334040754,-0.14520511009310696,6
"Yogurt, Greek, with oats",-0.8940067286049593,0.0046992341739454145,6
"Yogurt, liquid",-1.2727825047864314,-0.10172858799785099,6
Yogurt tube,-1.0661129928714785,-0.037765166184551745,6
"Chipotle dip, yogurt based",-1.046565833927654,0.019837735030341815,6
"Onion dip, yogurt based",-1.1297284994552184,-0.0023737872506131037,6
"Ranch dip, yogurt based",-0.8532593444579133,0.09084862046478157,6
"Spinach dip, yogurt based",-0.9184370611708806,0.24780243403129226,6
Tzatziki dip,-1.4091514662410656,-0.20022991419759484,6
"Vegetable dip, yogurt based",-0.9244667403685876,0.05907417530426245,6
"Yogurt parfait, with fruit",-1.181932724977995,-0.09131094412264676,6
"Frozen yogurt, NFS",-1.402483388021096,-0.11526139437008195,6
