Food_Name,PC1,PC2,cluster
"Milk, NFS",-2.498023120742208,-0.5978001322253883,1
"Milk, whole",-2.267083949708001,-0.907682309362963,1
"Milk, reduced fat (2%)",-2.5256340257511396,-0.5048832763600366,1
"Milk, low fat (1%)",-2.7898588908775976,-0.2679859492980446,1
"Milk, fat free (skim)",-3.001264036475462,-0.034667698781825206,1
"Milk, lactose free, low fat (1%)",-2.7898588908775976,-0.2679859492980446,1
"Milk, lactose free, fat free (skim)",-3.001264036475462,-0.034667698781825206,1
"Milk, lactose free, reduced fat (2%)",-2.5256340257511396,-0.5048832763600366,1
"Milk, lactose free, whole",-2.267083949708001,-0.907682309362963,1
Buttermilk,-2.8453369665610517,-0.28904273287349364,1
Kefir,-2.5434489063266565,-0.048358268892404806,1
Goat milk,-1.752975000598231,-1.4143358970154305,1
"Milk, dry, reconstituted, nonfat",-3.1140205210270198,-0.08223704231597105,1
"Milk, dry, reconstituted, whole",-1.7462428162302608,-1.002389411738046,1
"Milk, evaporated, NS as to fat content",-0.1382528999347872,-1.4841930127866145,1
"Milk, evaporated, whole",-0.1382528999347872,-1.4841930127866145,1
"Milk, evaporated, reduced fat (2%)",-1.4560957435396142,0.012569113943572111,1
"Milk, evaporated, fat free (skim)",-1.9384337983013933,0.5368008765568529,1
"Milk, condensed, sweetened",1.5322428067745257,-1.4728925402361641,0
"Non-dairy milk, NFS",-2.982592597383935,-0.014030904551745469,1
"Soy milk, sweetened",-2.672731297004939,0.15185941731400052,1
"Soy milk, unsweetened",-2.706586001435019,0.17160182548476205,1
"Soy milk, chocolate",-2.609080375833054,0.16211842371112653,1
"Almond milk, sweetened",-3.030511825804518,0.009274010275898071,1
"Almond milk, chocolate",-2.9566728939189435,0.015192869977104447,1
"Almond milk, unsweetened",-3.0819984826444804,0.01579263214813764,1
"Almond milk, NFS",-3.063308836932304,0.01612512309770198,1
Rice milk,-3.017382870214014,0.09269086792140732,1
Oat milk,-3.029512476791087,-0.2662978548989244,1
Coconut milk,-2.8967105441144403,-1.0231657652335329,1
"Yogurt, NFS",-1.9652245547832972,-0.6386105378072788,1
"Yogurt, Greek, NS as to type of milk or flavor",-2.350261095104056,-0.21399551779188075,1
"Yogurt, NS as to type of milk or flavor",-2.230918672285066,-0.18229487505293426,1
"Yogurt, NS as to type of milk, plain",-2.2419510429260607,-0.2275046239163742,1
"Yogurt, whole milk, plain",-1.944125438059556,-0.9621990517709024,1
"Yogurt, low fat milk, plain",-2.2419510429260607,-0.2275046239163742,1
"Yogurt, nonfat milk, plain",-2.738411937554472,0.1467649600474593,1
"Yogurt, Greek, NS as to type of milk, plain",-2.454367948498586,-0.2443331354517585,1
"Yogurt, Greek, whole milk, plain",-1.706054936453449,-1.0921913545337865,1
"Yogurt, Greek, low fat milk, plain",-2.454367948498586,-0.2443331354517585,1
"Yogurt, Greek, nonfat milk, plain",-2.732884388957075,0.04826275995744561,1
"Yogurt, NS as to type of milk, fruit",-2.230918672285066,-0.18229487505293426,1
